pert_id,rna_plate,average_precision,top1_correct,top5_hit,cell_line,method
BRD-K99545815,LJP006_A375_24H_X2_B19,0.15203102453102452,0.0,1.0,A375,raw_cosine
BRD-K99749624,LJP006_A375_24H_X2_B19,0.2563146997929607,1.0,1.0,A375,raw_cosine
BRD-A39996500,LJP006_A375_24H_X3_B19,0.885,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP006_A375_24H_X3_B19,0.15482372653446136,1.0,1.0,A375,raw_cosine
BRD-K13390322,LJP006_A375_24H_X3_B19,0.32366681197326364,1.0,1.0,A375,raw_cosine
BRD-K19687926,LJP006_A375_24H_X3_B19,0.02332002180953096,0.0,0.0,A375,raw_cosine
BRD-K20285085,LJP006_A375_24H_X3_B19,0.23869376266537062,1.0,1.0,A375,raw_cosine
BRD-K23984367,LJP006_A375_24H_X3_B19,0.05602709092070794,0.0,0.0,A375,raw_cosine
BRD-K40175214,LJP006_A375_24H_X3_B19,0.11117813267786969,0.0,1.0,A375,raw_cosine
BRD-K41895714,LJP006_A375_24H_X3_B19,0.023820172308867127,0.0,0.0,A375,raw_cosine
BRD-K49075727,LJP006_A375_24H_X3_B19,0.303728430404217,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP006_A375_24H_X3_B19,0.22139477220674228,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP006_A375_24H_X3_B19,0.25864230793756926,1.0,1.0,A375,raw_cosine
BRD-K51313569,LJP006_A375_24H_X3_B19,0.9428571428571428,1.0,1.0,A375,raw_cosine
BRD-K52911425,LJP006_A375_24H_X3_B19,0.03134353039984848,0.0,0.0,A375,raw_cosine
BRD-K57080016,LJP006_A375_24H_X3_B19,0.29080377037880123,1.0,1.0,A375,raw_cosine
BRD-K64800655,LJP006_A375_24H_X3_B19,0.4545796083069537,1.0,1.0,A375,raw_cosine
BRD-K67868012,LJP006_A375_24H_X3_B19,0.24160147774214158,1.0,1.0,A375,raw_cosine
BRD-K72414522,LJP006_A375_24H_X3_B19,0.4063888888888888,0.0,1.0,A375,raw_cosine
BRD-K79090631,LJP006_A375_24H_X3_B19,0.3430715906568179,0.0,1.0,A375,raw_cosine
BRD-K99545815,LJP006_A375_24H_X3_B19,0.3223481116584565,1.0,1.0,A375,raw_cosine
BRD-K99749624,LJP006_A375_24H_X3_B19,0.27619473692230334,1.0,1.0,A375,raw_cosine
BRD-A61304759,LJP007_A375_24H_X1_B20,0.29643522044767506,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP007_A375_24H_X1_B20,0.36311940315835395,1.0,1.0,A375,raw_cosine
BRD-K05804044,LJP007_A375_24H_X1_B20,0.3272509701352206,1.0,1.0,A375,raw_cosine
BRD-K13662825,LJP007_A375_24H_X1_B20,0.3778947368421052,1.0,1.0,A375,raw_cosine
BRD-K28392481,LJP007_A375_24H_X1_B20,0.10963586950683726,0.0,1.0,A375,raw_cosine
BRD-K33379087,LJP007_A375_24H_X1_B20,0.22116300366300362,0.0,1.0,A375,raw_cosine
BRD-K42805893,LJP007_A375_24H_X1_B20,0.4455555555555556,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP007_A375_24H_X1_B20,0.41030888550584765,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP007_A375_24H_X1_B20,0.2653553289687738,1.0,1.0,A375,raw_cosine
BRD-K51544265,LJP007_A375_24H_X1_B20,0.2152583156404812,0.0,1.0,A375,raw_cosine
BRD-K53414658,LJP007_A375_24H_X1_B20,0.0311733940532471,0.0,0.0,A375,raw_cosine
BRD-K60866521,LJP007_A375_24H_X1_B20,0.009595770951281907,0.0,0.0,A375,raw_cosine
BRD-K66538826,LJP007_A375_24H_X1_B20,0.020424561551872014,0.0,0.0,A375,raw_cosine
BRD-K71035033,LJP007_A375_24H_X1_B20,0.017410218783669405,0.0,0.0,A375,raw_cosine
BRD-K74065929,LJP007_A375_24H_X1_B20,0.23037889624649557,1.0,1.0,A375,raw_cosine
BRD-K74514084,LJP007_A375_24H_X1_B20,0.011689170010870557,0.0,0.0,A375,raw_cosine
BRD-K77625799,LJP007_A375_24H_X1_B20,0.4297482837528605,1.0,1.0,A375,raw_cosine
BRD-K79090631,LJP007_A375_24H_X1_B20,0.5282788534733022,1.0,1.0,A375,raw_cosine
BRD-K93918653,LJP007_A375_24H_X1_B20,0.014084968648630295,0.0,0.0,A375,raw_cosine
BRD-K99964838,LJP007_A375_24H_X1_B20,0.41930641821946174,1.0,1.0,A375,raw_cosine
BRD-A61304759,LJP007_A375_24H_X2_B20,0.40824532862749424,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP007_A375_24H_X2_B20,0.7136133667143706,1.0,1.0,A375,raw_cosine
BRD-K05804044,LJP007_A375_24H_X2_B20,0.30659977703455965,1.0,1.0,A375,raw_cosine
BRD-K13662825,LJP007_A375_24H_X2_B20,0.4975913978494623,1.0,1.0,A375,raw_cosine
BRD-K28392481,LJP007_A375_24H_X2_B20,0.21395951535846205,1.0,1.0,A375,raw_cosine
BRD-K33379087,LJP007_A375_24H_X2_B20,0.05144663779375722,0.0,1.0,A375,raw_cosine
BRD-K42805893,LJP007_A375_24H_X2_B20,0.4341411227310975,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP007_A375_24H_X2_B20,0.34730542508653506,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP007_A375_24H_X2_B20,0.15907052488514922,0.0,1.0,A375,raw_cosine
BRD-K51544265,LJP007_A375_24H_X2_B20,0.06455703801626704,0.0,0.0,A375,raw_cosine
BRD-K53414658,LJP007_A375_24H_X2_B20,0.22516610202473197,1.0,1.0,A375,raw_cosine
BRD-K60866521,LJP007_A375_24H_X2_B20,0.06353150886022858,0.0,0.0,A375,raw_cosine
BRD-K66538826,LJP007_A375_24H_X2_B20,0.020391867319168085,0.0,0.0,A375,raw_cosine
BRD-K71035033,LJP007_A375_24H_X2_B20,0.08403513078997744,0.0,1.0,A375,raw_cosine
BRD-K74065929,LJP007_A375_24H_X2_B20,0.41314458090928674,1.0,1.0,A375,raw_cosine
BRD-K74514084,LJP007_A375_24H_X2_B20,0.21306291975963237,1.0,1.0,A375,raw_cosine
BRD-K77625799,LJP007_A375_24H_X2_B20,0.4215908964306325,1.0,1.0,A375,raw_cosine
BRD-K79090631,LJP007_A375_24H_X2_B20,0.5547856805602027,1.0,1.0,A375,raw_cosine
BRD-K93918653,LJP007_A375_24H_X2_B20,0.2094375034066524,1.0,1.0,A375,raw_cosine
BRD-K99964838,LJP007_A375_24H_X2_B20,0.06151016381589629,0.0,0.0,A375,raw_cosine
BRD-A61304759,LJP007_A375_24H_X3_B20,0.11470310910569301,0.0,1.0,A375,raw_cosine
BRD-K02708799,LJP007_A375_24H_X3_B20,0.09458427349394731,0.0,1.0,A375,raw_cosine
BRD-K05804044,LJP007_A375_24H_X3_B20,0.08559163059163058,0.0,0.0,A375,raw_cosine
BRD-K13662825,LJP007_A375_24H_X3_B20,0.4947450980392157,1.0,1.0,A375,raw_cosine
BRD-K28392481,LJP007_A375_24H_X3_B20,0.110749709156081,0.0,1.0,A375,raw_cosine
BRD-K33379087,LJP007_A375_24H_X3_B20,0.2245615435289349,1.0,1.0,A375,raw_cosine
BRD-K42805893,LJP007_A375_24H_X3_B20,0.4568497182743251,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP007_A375_24H_X3_B20,0.1472064597449603,0.0,1.0,A375,raw_cosine
BRD-K49865102,LJP007_A375_24H_X3_B20,0.20146695142824633,1.0,1.0,A375,raw_cosine
BRD-K51544265,LJP007_A375_24H_X3_B20,0.2606598639455783,1.0,1.0,A375,raw_cosine
BRD-K53414658,LJP007_A375_24H_X3_B20,0.2387577410825406,1.0,1.0,A375,raw_cosine
BRD-K60866521,LJP007_A375_24H_X3_B20,0.07057142078799483,0.0,1.0,A375,raw_cosine
BRD-K66538826,LJP007_A375_24H_X3_B20,0.012619371383947494,0.0,0.0,A375,raw_cosine
BRD-K71035033,LJP007_A375_24H_X3_B20,0.008706160121650004,0.0,0.0,A375,raw_cosine
BRD-K74065929,LJP007_A375_24H_X3_B20,0.05587620400349941,0.0,1.0,A375,raw_cosine
BRD-K74514084,LJP007_A375_24H_X3_B20,0.05755906534046549,0.0,0.0,A375,raw_cosine
BRD-K77625799,LJP007_A375_24H_X3_B20,0.45211110559537493,1.0,1.0,A375,raw_cosine
BRD-K79090631,LJP007_A375_24H_X3_B20,0.5080372766228183,1.0,1.0,A375,raw_cosine
BRD-K93918653,LJP007_A375_24H_X3_B20,0.20867902728627566,1.0,1.0,A375,raw_cosine
BRD-K99964838,LJP007_A375_24H_X3_B20,0.36466866466866465,1.0,1.0,A375,raw_cosine
BRD-A58280226,LJP008_A375_24H_X1_B20,0.012969506206981809,0.0,0.0,A375,raw_cosine
BRD-A61304759,LJP008_A375_24H_X1_B20,0.4376410393572865,1.0,1.0,A375,raw_cosine
BRD-K02113016,LJP008_A375_24H_X1_B20,0.01524341376930063,0.0,0.0,A375,raw_cosine
BRD-K02708799,LJP008_A375_24H_X1_B20,0.5337525355807424,1.0,1.0,A375,raw_cosine
BRD-K08109215,LJP008_A375_24H_X1_B20,0.01968497414944575,0.0,0.0,A375,raw_cosine
BRD-K11153516,LJP008_A375_24H_X1_B20,0.09010362174402366,0.0,1.0,A375,raw_cosine
BRD-K12787259,LJP008_A375_24H_X1_B20,0.21132269041463717,1.0,1.0,A375,raw_cosine
BRD-K17743125,LJP008_A375_24H_X1_B20,0.6866666666666666,1.0,1.0,A375,raw_cosine
BRD-K36740062,LJP008_A375_24H_X1_B20,0.08090635407008857,0.0,1.0,A375,raw_cosine
BRD-K49865102,LJP008_A375_24H_X1_B20,0.09385939191641528,0.0,1.0,A375,raw_cosine
BRD-K54256913,LJP008_A375_24H_X1_B20,0.13841740788989795,0.0,1.0,A375,raw_cosine
BRD-K56301217,LJP008_A375_24H_X1_B20,0.0541707572065402,0.0,0.0,A375,raw_cosine
BRD-K79090631,LJP008_A375_24H_X1_B20,0.39088355916906425,0.0,1.0,A375,raw_cosine
BRD-K79254416,LJP008_A375_24H_X1_B20,0.048498717814426426,0.0,0.0,A375,raw_cosine
BRD-K82928847,LJP008_A375_24H_X1_B20,0.21209775809325304,1.0,1.0,A375,raw_cosine
BRD-K86797399,LJP008_A375_24H_X1_B20,0.5634920634920635,1.0,1.0,A375,raw_cosine
BRD-K87142802,LJP008_A375_24H_X1_B20,0.03557279351513382,0.0,0.0,A375,raw_cosine
BRD-K92428232,LJP008_A375_24H_X1_B20,0.062295991116956384,0.0,0.0,A375,raw_cosine
BRD-A58280226,LJP008_A375_24H_X2_B20,0.02388491482168732,0.0,0.0,A375,raw_cosine
BRD-A61304759,LJP008_A375_24H_X2_B20,0.5082440922395945,1.0,1.0,A375,raw_cosine
BRD-K02113016,LJP008_A375_24H_X2_B20,0.2731675761457353,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP008_A375_24H_X2_B20,0.35218477820647465,1.0,1.0,A375,raw_cosine
BRD-K08109215,LJP008_A375_24H_X2_B20,0.21792383772335655,0.0,1.0,A375,raw_cosine
BRD-K11153516,LJP008_A375_24H_X2_B20,0.08839925348124529,0.0,1.0,A375,raw_cosine
BRD-K12787259,LJP008_A375_24H_X2_B20,0.02179360474996398,0.0,0.0,A375,raw_cosine
BRD-K17743125,LJP008_A375_24H_X2_B20,0.16947276861069965,0.0,0.0,A375,raw_cosine
BRD-K36740062,LJP008_A375_24H_X2_B20,0.03409671888395292,0.0,0.0,A375,raw_cosine
BRD-K49328571,LJP008_A375_24H_X2_B20,0.3057689910766794,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP008_A375_24H_X2_B20,0.1625952073565155,0.0,1.0,A375,raw_cosine
BRD-K54256913,LJP008_A375_24H_X2_B20,0.4079030456266491,1.0,1.0,A375,raw_cosine
BRD-K56301217,LJP008_A375_24H_X2_B20,0.01665312063741787,0.0,0.0,A375,raw_cosine
BRD-K79090631,LJP008_A375_24H_X2_B20,0.529684321465179,1.0,1.0,A375,raw_cosine
BRD-K79254416,LJP008_A375_24H_X2_B20,0.01780825700348382,0.0,0.0,A375,raw_cosine
BRD-K82928847,LJP008_A375_24H_X2_B20,0.2861442006269592,1.0,1.0,A375,raw_cosine
BRD-K86797399,LJP008_A375_24H_X2_B20,0.39388888888888884,0.0,1.0,A375,raw_cosine
BRD-K87142802,LJP008_A375_24H_X2_B20,0.43584795321637426,1.0,1.0,A375,raw_cosine
BRD-K92428232,LJP008_A375_24H_X2_B20,0.05234778405778362,0.0,1.0,A375,raw_cosine
BRD-A58280226,LJP008_A375_24H_X3_B20,0.010666452692161517,0.0,0.0,A375,raw_cosine
BRD-A61304759,LJP008_A375_24H_X3_B20,0.09767586943604709,0.0,1.0,A375,raw_cosine
BRD-K02113016,LJP008_A375_24H_X3_B20,0.31878643261896844,1.0,1.0,A375,raw_cosine
BRD-K02708799,LJP008_A375_24H_X3_B20,0.5798995511030686,1.0,1.0,A375,raw_cosine
BRD-K08109215,LJP008_A375_24H_X3_B20,0.02220830214250456,0.0,0.0,A375,raw_cosine
BRD-K11153516,LJP008_A375_24H_X3_B20,0.007714733550049234,0.0,0.0,A375,raw_cosine
BRD-K12787259,LJP008_A375_24H_X3_B20,0.21407578207792696,1.0,1.0,A375,raw_cosine
BRD-K17743125,LJP008_A375_24H_X3_B20,0.6116666666666666,0.0,1.0,A375,raw_cosine
BRD-K36740062,LJP008_A375_24H_X3_B20,0.2346688446688447,1.0,1.0,A375,raw_cosine
BRD-K49328571,LJP008_A375_24H_X3_B20,0.4379895858164876,1.0,1.0,A375,raw_cosine
BRD-K49865102,LJP008_A375_24H_X3_B20,0.1801220948728561,0.0,1.0,A375,raw_cosine
BRD-K54256913,LJP008_A375_24H_X3_B20,0.10977124620176966,0.0,1.0,A375,raw_cosine
BRD-K56301217,LJP008_A375_24H_X3_B20,0.00871545246251795,0.0,0.0,A375,raw_cosine
BRD-K79090631,LJP008_A375_24H_X3_B20,0.5230349572056525,1.0,1.0,A375,raw_cosine
BRD-K79254416,LJP008_A375_24H_X3_B20,0.011096988725524228,0.0,0.0,A375,raw_cosine
BRD-K82928847,LJP008_A375_24H_X3_B20,0.0511647085893938,0.0,1.0,A375,raw_cosine
BRD-K86797399,LJP008_A375_24H_X3_B20,0.11153485641080388,0.0,0.0,A375,raw_cosine
BRD-K87142802,LJP008_A375_24H_X3_B20,0.01152350108076769,0.0,0.0,A375,raw_cosine
BRD-K92428232,LJP008_A375_24H_X3_B20,0.017673561259327945,0.0,0.0,A375,raw_cosine
BRD-A61304759,LJP009_A375_24H_X1_B20,0.4662821722143817,1.0,1.0,A375,raw_cosine
BRD-K02113016,LJP009_A375_24H_X1_B20,0.014858486232793143,0.0,0.0,A375,raw_cosine
BRD-K02123250,LJP009_A375_24H_X1_B20,0.03443629593820392,0.0,0.0,A375,raw_cosine
BRD-K02708799,LJP009_A375_24H_X1_B20,0.46827608144755534,1.0,1.0,A375,raw_cosine
BRD-K09132007,LJP009_A375_24H_X1_B20,0.03159226399549589,0.0,0.0,A375,raw_cosine
BRD-K09951645,LJP009_A375_24H_X1_B20,0.16587301587301587,0.0,0.0,A375,raw_cosine
BRD-K11267252,LJP009_A375_24H_X1_B20,0.03622026496608877,0.0,0.0,A375,raw_cosine
BRD-K16730910,LJP009_A375_24H_X1_B20,0.8144927536231885,1.0,1.0,A375,raw_cosine
BRD-K45746021,LJP009_A375_24H_X1_B20,0.050345986670530286,0.0,0.0,A375,raw_cosine
BRD-K49328571,LJP009_A375_24H_X1_B20,0.23340251454683864,0.0,1.0,A375,raw_cosine
BRD-K49865102,LJP009_A375_24H_X1_B20,0.18447770475160966,1.0,1.0,A375,raw_cosine
BRD-K52751261,LJP009_A375_24H_X1_B20,0.04102598200195851,0.0,0.0,A375,raw_cosine
BRD-K70511574,LJP009_A375_24H_X1_B20,0.0870108100711549,0.0,0.0,A375,raw_cosine
BRD-K83963101,LJP009_A375_24H_X1_B20,0.059759816207184624,0.0,0.0,A375,raw_cosine
BRD-K87142802,LJP009_A375_24H_X1_B20,0.5850959752321983,1.0,1.0,A375,raw_cosine
BRD-K93123848,LJP009_A375_24H_X1_B20,0.1317995672614156,0.0,1.0,A375,raw_cosine
BRD-A61304759,LJP009_A375_24H_X2_B20,0.3798185030771758,1.0,1.0,A375,raw_cosine
BRD-K02113016,LJP009_A375_24H_X2_B20,0.10941433909822054,0.0,0.0,A375,raw_cosine
BRD-K02123250,LJP009_A375_24H_X2_B20,0.008548346677454209,0.0,0.0,A375,raw_cosine
BRD-K02708799,LJP009_A375_24H_X2_B20,0.34211980167159367,1.0,1.0,A375,raw_cosine
BRD-K09132007,LJP009_A375_24H_X2_B20,0.05195210311542724,0.0,0.0,A375,raw_cosine
BRD-K09951645,LJP009_A375_24H_X2_B20,0.06705312734973752,0.0,0.0,A375,raw_cosine
BRD-K11267252,LJP009_A375_24H_X2_B20,0.2664936983920035,1.0,1.0,A375,raw_cosine
BRD-K16730910,LJP009_A375_24H_X2_B20,0.12910912190963342,0.0,0.0,A375,raw_cosine
BRD-K45746021,LJP009_A375_24H_X2_B20,0.015862778772901962,0.0,0.0,A375,raw_cosine
BRD-K49328571,LJP009_A375_24H_X2_B20,0.2620361865393446,0.0,1.0,A375,raw_cosine
BRD-K49865102,LJP009_A375_24H_X2_B20,0.20877750332743175,0.0,1.0,A375,raw_cosine
BRD-K52751261,LJP009_A375_24H_X2_B20,0.011862648952887878,0.0,0.0,A375,raw_cosine
BRD-K70511574,LJP009_A375_24H_X2_B20,0.026601115515742253,0.0,0.0,A375,raw_cosine
BRD-K83963101,LJP009_A375_24H_X2_B20,0.04183845145104225,0.0,0.0,A375,raw_cosine
BRD-K87142802,LJP009_A375_24H_X2_B20,0.5603797006206644,1.0,1.0,A375,raw_cosine
BRD-K93123848,LJP009_A375_24H_X2_B20,0.2300505969775403,1.0,1.0,A375,raw_cosine
BRD-K02113016,LJP009_A375_24H_X3_B20,0.1649352049618007,0.0,1.0,A375,raw_cosine
BRD-K02123250,LJP009_A375_24H_X3_B20,0.014163515732490972,0.0,0.0,A375,raw_cosine
BRD-K02708799,LJP009_A375_24H_X3_B20,0.4174281586291955,1.0,1.0,A375,raw_cosine
BRD-K09132007,LJP009_A375_24H_X3_B20,0.06112970112970113,0.0,0.0,A375,raw_cosine
BRD-K09951645,LJP009_A375_24H_X3_B20,0.31460547504025765,1.0,1.0,A375,raw_cosine
BRD-K11267252,LJP009_A375_24H_X3_B20,0.01359421259111944,0.0,0.0,A375,raw_cosine
BRD-K16730910,LJP009_A375_24H_X3_B20,0.07742296918767508,0.0,0.0,A375,raw_cosine
BRD-K45746021,LJP009_A375_24H_X3_B20,0.025513945007560667,0.0,0.0,A375,raw_cosine
BRD-K49328571,LJP009_A375_24H_X3_B20,0.06275608383037226,0.0,0.0,A375,raw_cosine
