direction,training_generalized_eigenvalue,heldout_generalized_eigenvalue
131,1.4092998744040354e-14,1.3876301072991047e-14
132,1.3733418450627111e-14,1.3806035969416177e-14
133,1.3508536320127733e-14,1.3752045079182001e-14
134,1.343269451274289e-14,1.3525384698271026e-14
135,1.3152491359234504e-14,1.3378498068411029e-14
136,1.3095476557064072e-14,1.3221269396704426e-14
137,1.2818417546100107e-14,1.3184126418465032e-14
138,1.2778449518147472e-14,1.3015036726052108e-14
139,1.2647365526561348e-14,1.2877871892435887e-14
140,1.242135758154053e-14,1.2631559764544852e-14
141,1.2194065559809892e-14,1.2602633251594637e-14
142,1.214525133891627e-14,1.2458363878301426e-14
143,1.1934326850292393e-14,1.2440209848721134e-14
144,1.1767901592042535e-14,1.2284675586982201e-14
145,1.1645741463261576e-14,1.2062980397520152e-14
146,1.1488495463543153e-14,1.1979792389138235e-14
147,1.1374259633338446e-14,1.1921842430616442e-14
148,1.1227694369539793e-14,1.183162759566187e-14
149,1.1085052889409584e-14,1.173951577074013e-14
150,1.0937490558199448e-14,1.1565516564870546e-14
151,1.0883985732461245e-14,1.1412845978033643e-14
152,1.073123018584621e-14,1.1367263812433153e-14
153,1.0634205370430958e-14,1.1309006940395237e-14
154,1.0503394123234272e-14,1.1211122541008507e-14
155,1.0417081147067053e-14,1.1170964572295022e-14
156,1.0362223414573951e-14,1.1014529425321623e-14
157,1.0257505670365815e-14,1.0888465963896965e-14
158,1.0122529459939853e-14,1.0712624500139398e-14
159,1.00013321378004e-14,1.06586099562388e-14
160,9.905894780508728e-15,1.0500073254833351e-14
161,9.719124815014738e-15,1.0402199079741363e-14
162,9.677809651396957e-15,1.0359294715763153e-14
163,9.454693326026822e-15,1.0294869036943538e-14
164,9.351568389106436e-15,1.008056371639235e-14
165,9.248794938958977e-15,1.000412912329912e-14
166,9.178564655205262e-15,9.944786505121444e-15
167,9.16370233691415e-15,9.93374711231386e-15
168,8.989616045985377e-15,9.79407025074008e-15
169,8.849648564504852e-15,9.733301889340282e-15
170,8.80516517500835e-15,9.689398290711083e-15
171,8.763523532241877e-15,9.602491241550221e-15
172,8.702257807596171e-15,9.4716257986154e-15
173,8.66363469891411e-15,9.4075126833364e-15
174,8.52468510132862e-15,9.338964198547762e-15
175,8.450762803796134e-15,9.24511545110161e-15
176,8.353741257364959e-15,9.065376868907117e-15
177,8.284986068798572e-15,9.012053298854555e-15
178,8.15613539919946e-15,8.9555339218321e-15
179,8.079496684632615e-15,8.884522383856387e-15
180,8.030470069269324e-15,8.841909871656117e-15
181,7.945939923520417e-15,8.767973191625297e-15
182,7.9188176020659e-15,8.635877847441251e-15
183,7.823133425591931e-15,8.56923927572867e-15
184,7.80318634714108e-15,8.461431368774912e-15
185,7.760164684557958e-15,8.37862608368508e-15
186,7.578481375182847e-15,8.289052052424058e-15
187,7.471567799612214e-15,8.243175383884966e-15
188,7.39316491451557e-15,8.188458199080828e-15
189,7.36134548756128e-15,8.152659032382475e-15
190,7.280709453255911e-15,8.081736908659467e-15
191,7.25125869068202e-15,7.95521058133356e-15
192,7.055631051773971e-15,7.913526966641786e-15
193,7.00717257662185e-15,7.902999091430043e-15
194,6.9696004725545495e-15,7.686210306325274e-15
195,6.913331352980302e-15,7.61900076926956e-15
196,6.8760684168462524e-15,7.554088853814153e-15
197,6.834445460453256e-15,7.472956289130713e-15
198,6.745583897415565e-15,7.404991890625014e-15
199,6.672999990968243e-15,7.37325071546262e-15
200,6.6223190175874575e-15,7.27220865870711e-15
201,6.57644090144851e-15,7.219731174095451e-15
202,6.4537387986959396e-15,7.132157464697842e-15
203,6.451186157713125e-15,7.088826790590918e-15
204,6.393811438477795e-15,7.038863870363025e-15
205,6.3466758663859355e-15,7.026040996147302e-15
206,6.2714970296584035e-15,6.941426530723455e-15
207,6.202579117564313e-15,6.9029813345721784e-15
208,6.1256613655264045e-15,6.790943691071973e-15
209,6.084826775317304e-15,6.7288917355677724e-15
210,6.0744329953642784e-15,6.649963703988267e-15
211,5.997146115720248e-15,6.64678543996908e-15
212,5.9847981373430945e-15,6.518268772135129e-15
213,5.849051062266947e-15,6.48069920576464e-15
214,5.792966061966941e-15,6.456646212074142e-15
215,5.735541192515149e-15,6.4319437190132686e-15
216,5.693683544396436e-15,6.372503734355415e-15
217,5.611676894602822e-15,6.305556957687203e-15
218,5.560783388877069e-15,6.267198038146841e-15
219,5.4898785970121935e-15,6.170207290374161e-15
220,5.452540961989145e-15,6.137317195499545e-15
221,5.3807230297207e-15,6.094972796886522e-15
222,5.336611022546279e-15,6.054824246791337e-15
223,5.3053719725848796e-15,6.014933241759225e-15
224,5.245208925808953e-15,5.942034783982301e-15
225,5.205993400774037e-15,5.89664958525135e-15
226,5.1562327610883205e-15,5.871212400326198e-15
227,5.0737999004577655e-15,5.785407292547772e-15
228,5.0401608664983996e-15,5.715242212284751e-15
229,4.987089625996001e-15,5.670727147371539e-15
230,4.9834583289710124e-15,5.6342925641536254e-15
231,4.958317489172525e-15,5.563984543494071e-15
232,4.9290122675152455e-15,5.496127327140981e-15
233,4.797337974718033e-15,5.4001615621825946e-15
234,4.765492574507157e-15,5.336883216268759e-15
235,4.74492383907338e-15,5.278509668742933e-15
236,4.727620406436041e-15,5.2621189047463684e-15
237,4.641703431419274e-15,5.205472999566951e-15
238,4.6375262493490534e-15,5.192945327078494e-15
239,4.617644707462552e-15,5.1408601742067046e-15
240,4.549772195305653e-15,5.098718514462255e-15
241,4.512532111739686e-15,5.040795872826858e-15
242,4.453337016424992e-15,4.997349126298261e-15
243,4.367267668899316e-15,4.9798912505483636e-15
244,4.33166910212382e-15,4.9586561569976055e-15
245,4.28538994129656e-15,4.8254511527501925e-15
246,4.241853401196773e-15,4.786830244929504e-15
247,4.1895262786799225e-15,4.754675015212688e-15
248,4.1866966336052645e-15,4.728834200070171e-15
249,4.128879976050349e-15,4.705559772935583e-15
250,4.0984993980847624e-15,4.6737292686040606e-15
251,4.066331232251718e-15,4.557991825530626e-15
252,4.06372777209862e-15,4.54528631565701e-15
253,4.005842549928413e-15,4.5295892102235715e-15
254,3.948386664604796e-15,4.453337954910096e-15
255,3.899467072503764e-15,4.437270269771629e-15
