pert_id,rna_plate,reciprocal_rank,top1_correct,top5_hit,cohort,method
BRD-K27305650,CPC005_MCF7_6H_X2,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K46211610,CPC005_MCF7_6H_X2,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67511046,CPC005_MCF7_6H_X2,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC005_MCF7_6H_X2,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC005_MCF7_6H_X3,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A36217750,CPC005_MCF7_6H_X3,0.25,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K27305650,CPC005_MCF7_6H_X3,0.038461538461538464,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K46211610,CPC005_MCF7_6H_X3,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67511046,CPC005_MCF7_6H_X3,0.25,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC005_MCF7_6H_X3,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC005_MCF7_6H_X5,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A36217750,CPC005_MCF7_6H_X5,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K27305650,CPC005_MCF7_6H_X5,0.125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K46211610,CPC005_MCF7_6H_X5,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K67511046,CPC005_MCF7_6H_X5,0.1,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC005_MCF7_6H_X5,0.16666666666666666,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC006_MCF7_6H_X1,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC006_MCF7_6H_X1,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC006_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC006_MCF7_6H_X1,0.07142857142857142,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC006_MCF7_6H_X2,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC006_MCF7_6H_X2,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC006_MCF7_6H_X2,0.1111111111111111,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC006_MCF7_6H_X3,0.041666666666666664,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC006_MCF7_6H_X3,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC006_MCF7_6H_X3,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC006_MCF7_6H_X4,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC006_MCF7_6H_X4,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC006_MCF7_6H_X4,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC006_MCF7_6H_X4,0.08333333333333333,0.0,0.0,phase1_test,raw_mean_consensus
BRD-A26711594,CPC006_MCF7_6H_X5,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K56343971,CPC006_MCF7_6H_X5,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K78126613,CPC006_MCF7_6H_X5,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC006_MCF7_6H_X5,0.2,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC007_MCF7_6H_X1.A2,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC007_MCF7_6H_X2,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC007_MCF7_6H_X3,0.125,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC007_MCF7_6H_X4,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC010_MCF7_6H_X2,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC010_MCF7_6H_X2,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC010_MCF7_6H_X3,0.07692307692307693,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC010_MCF7_6H_X3,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K28936863,CPC010_MCF7_6H_X4,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC010_MCF7_6H_X4,0.09090909090909091,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC011_MCF7_6H_X1,0.029411764705882353,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC011_MCF7_6H_X1,0.034482758620689655,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC011_MCF7_6H_X1,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC011_MCF7_6H_X1,0.037037037037037035,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC011_MCF7_6H_X1,0.04,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC011_MCF7_6H_X1,0.06666666666666667,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92093830,CPC011_MCF7_6H_X1,0.25,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC011_MCF7_6H_X1,0.05555555555555555,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K25394294,CPC011_MCF7_6H_X3,0.058823529411764705,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K60770992,CPC011_MCF7_6H_X3,0.14285714285714285,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K70301876,CPC011_MCF7_6H_X3,0.05263157894736842,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K71103788,CPC011_MCF7_6H_X3,0.05,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K75958195,CPC011_MCF7_6H_X3,0.03571428571428571,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K89732114,CPC011_MCF7_6H_X3,0.047619047619047616,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K92093830,CPC011_MCF7_6H_X3,0.5,0.0,1.0,phase1_test,raw_mean_consensus
BRD-K97181089,CPC011_MCF7_6H_X3,0.07142857142857142,0.0,0.0,phase1_test,raw_mean_consensus
BRD-K16478699,CPC013_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
BRD-K63923597,CPC013_MCF7_6H_X1,1.0,1.0,1.0,phase1_test,raw_mean_consensus
