pert_id,rna_plate,average_precision,top1_correct,top5_hit,split,method
BRD-K54233340,CPC006_MCF7_6H_X1,0.7968434343434342,1.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC006_MCF7_6H_X1,0.025310699459543638,0.0,0.0,validation,filzen_continuous
BRD-K80738081,CPC006_MCF7_6H_X1,0.061157686504214694,0.0,0.0,validation,filzen_continuous
BRD-K96354014,CPC006_MCF7_6H_X1,0.06905975863363406,0.0,1.0,validation,filzen_continuous
BRD-A91699651,CPC006_MCF7_6H_X2,0.045773890928654644,0.0,0.0,validation,filzen_continuous
BRD-K01292756,CPC006_MCF7_6H_X2,0.15422873976283735,1.0,1.0,validation,filzen_continuous
BRD-K36927236,CPC006_MCF7_6H_X2,0.04783843590998899,0.0,0.0,validation,filzen_continuous
BRD-K54233340,CPC006_MCF7_6H_X2,0.8986044657097291,1.0,1.0,validation,filzen_continuous
BRD-K80738081,CPC006_MCF7_6H_X2,0.044307916348686166,0.0,1.0,validation,filzen_continuous
BRD-K96354014,CPC006_MCF7_6H_X2,0.04559446684593161,0.0,0.0,validation,filzen_continuous
BRD-A91699651,CPC006_MCF7_6H_X3,0.05558553416679354,0.0,0.0,validation,filzen_continuous
BRD-K01292756,CPC006_MCF7_6H_X3,0.04566622959549558,0.0,0.0,validation,filzen_continuous
BRD-K36927236,CPC006_MCF7_6H_X3,0.03668063192342098,0.0,0.0,validation,filzen_continuous
BRD-K54233340,CPC006_MCF7_6H_X3,0.8737068487068487,1.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC006_MCF7_6H_X3,0.02969100051840018,0.0,0.0,validation,filzen_continuous
BRD-K80738081,CPC006_MCF7_6H_X3,0.04363204183283,0.0,0.0,validation,filzen_continuous
BRD-K96354014,CPC006_MCF7_6H_X3,0.04214632078771377,0.0,0.0,validation,filzen_continuous
BRD-A91699651,CPC006_MCF7_6H_X4,0.05141762530430055,0.0,0.0,validation,filzen_continuous
BRD-K01292756,CPC006_MCF7_6H_X4,0.039647818774736325,0.0,0.0,validation,filzen_continuous
BRD-K36927236,CPC006_MCF7_6H_X4,0.06651585415041748,0.0,0.0,validation,filzen_continuous
BRD-K54233340,CPC006_MCF7_6H_X4,0.9287878787878788,1.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC006_MCF7_6H_X4,0.06891712000540826,0.0,1.0,validation,filzen_continuous
BRD-K80738081,CPC006_MCF7_6H_X4,0.12067497089309454,1.0,1.0,validation,filzen_continuous
BRD-K96354014,CPC006_MCF7_6H_X4,0.05753401741152667,0.0,0.0,validation,filzen_continuous
BRD-A91699651,CPC006_MCF7_6H_X5,0.0511403835998315,0.0,0.0,validation,filzen_continuous
BRD-K01292756,CPC006_MCF7_6H_X5,0.04995726629988948,0.0,1.0,validation,filzen_continuous
BRD-K36927236,CPC006_MCF7_6H_X5,0.11768402421350577,1.0,1.0,validation,filzen_continuous
BRD-K54233340,CPC006_MCF7_6H_X5,0.9266575529733424,1.0,1.0,validation,filzen_continuous
BRD-K68143200,CPC006_MCF7_6H_X5,0.03101187785390139,0.0,0.0,validation,filzen_continuous
BRD-K80738081,CPC006_MCF7_6H_X5,0.022223149947706602,0.0,0.0,validation,filzen_continuous
BRD-K96354014,CPC006_MCF7_6H_X5,0.03934720873849968,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC007_MCF7_6H_X1.A2,0.04482957421269106,0.0,0.0,validation,filzen_continuous
BRD-K32821942,CPC007_MCF7_6H_X1.A2,0.024399221370265026,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC007_MCF7_6H_X2,0.036604207428134306,0.0,0.0,validation,filzen_continuous
BRD-K32821942,CPC007_MCF7_6H_X2,0.019354305976505802,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC007_MCF7_6H_X3,0.03540298949064864,0.0,1.0,validation,filzen_continuous
BRD-K32821942,CPC007_MCF7_6H_X3,0.024113202730021665,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC007_MCF7_6H_X4,0.017305383429546795,0.0,0.0,validation,filzen_continuous
BRD-K32821942,CPC007_MCF7_6H_X4,0.03933261535908267,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC009_MCF7_6H_X1,0.14914474886258045,1.0,1.0,validation,filzen_continuous
BRD-A47598013,CPC009_MCF7_6H_X1,0.04527901012003004,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC009_MCF7_6H_X2,0.06749268341774263,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC009_MCF7_6H_X2,0.04557862628775831,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC009_MCF7_6H_X3.A2,0.047883476330308546,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC009_MCF7_6H_X3.A2,0.035228008798103456,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC010_MCF7_6H_X2,0.07457416605312114,0.0,1.0,validation,filzen_continuous
BRD-K80738081,CPC010_MCF7_6H_X2,0.05952039234017656,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC010_MCF7_6H_X3,0.028369880772089184,0.0,0.0,validation,filzen_continuous
BRD-K80738081,CPC010_MCF7_6H_X3,0.027805862187810018,0.0,0.0,validation,filzen_continuous
BRD-K55127134,CPC010_MCF7_6H_X4,0.07965239379289456,0.0,0.0,validation,filzen_continuous
BRD-K80738081,CPC010_MCF7_6H_X4,0.022664098270066522,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC011_MCF7_6H_X1,0.049122801264137074,0.0,1.0,validation,filzen_continuous
BRD-A42759514,CPC011_MCF7_6H_X1,0.057207046130370594,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC011_MCF7_6H_X1,0.04456495407590742,0.0,0.0,validation,filzen_continuous
BRD-A64977602,CPC011_MCF7_6H_X1,0.029944756146206494,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC011_MCF7_6H_X1,0.1494792767615815,1.0,1.0,validation,filzen_continuous
BRD-K37991163,CPC011_MCF7_6H_X1,0.03283123306302006,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC011_MCF7_6H_X1,0.07440097389572949,0.0,1.0,validation,filzen_continuous
BRD-A09056319,CPC011_MCF7_6H_X3,0.030160790579110395,0.0,0.0,validation,filzen_continuous
BRD-A42759514,CPC011_MCF7_6H_X3,0.01973953125751954,0.0,0.0,validation,filzen_continuous
BRD-A47598013,CPC011_MCF7_6H_X3,0.0412065231149396,0.0,1.0,validation,filzen_continuous
BRD-A64977602,CPC011_MCF7_6H_X3,0.02974595910368826,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC011_MCF7_6H_X3,0.020246142401050535,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC011_MCF7_6H_X3,0.01996679349797424,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC011_MCF7_6H_X3,0.04294002157169327,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC012_MCF7_6H_X1,0.05259183487050496,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC012_MCF7_6H_X2,0.043424767507493446,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC012_MCF7_6H_X3,0.09750773990931924,0.0,1.0,validation,filzen_continuous
BRD-A76490030,CPC012_MCF7_6H_X4,0.02523662037565314,0.0,0.0,validation,filzen_continuous
BRD-A76490030,CPC012_MCF7_6H_X5,0.019810340802342348,0.0,0.0,validation,filzen_continuous
BRD-K63068307,CPC013_MCF7_6H_X1,0.2170890999997731,1.0,1.0,validation,filzen_continuous
BRD-K63068307,CPC013_MCF7_6H_X2,0.25777539929963905,1.0,1.0,validation,filzen_continuous
BRD-K63068307,CPC013_MCF7_6H_X3.A2,0.050233715867208956,0.0,0.0,validation,filzen_continuous
BRD-K63068307,CPC013_MCF7_6H_X5,0.05779355645391477,0.0,0.0,validation,filzen_continuous
BRD-K63068307,CPC014_MCF7_6H_X1,0.10705700081644749,0.0,1.0,validation,filzen_continuous
BRD-K63068307,CPC014_MCF7_6H_X2,0.05373477630645851,0.0,0.0,validation,filzen_continuous
BRD-K63068307,CPC014_MCF7_6H_X4,0.05159560441796252,0.0,1.0,validation,filzen_continuous
BRD-K63068307,CPC014_MCF7_6H_X5,0.020200753906479765,0.0,0.0,validation,filzen_continuous
BRD-A06352418,CPC015_MCF7_6H_X1,0.037709486509984506,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC015_MCF7_6H_X1,0.04585118755432332,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC015_MCF7_6H_X1,0.12914850766656588,0.0,1.0,validation,filzen_continuous
BRD-A42759514,CPC015_MCF7_6H_X1,0.03986272674979257,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC015_MCF7_6H_X1,0.050324974982308125,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC015_MCF7_6H_X1,0.040535547538762526,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC015_MCF7_6H_X1,0.06554781650098554,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC015_MCF7_6H_X1,0.1585418789920526,1.0,1.0,validation,filzen_continuous
BRD-K39987650,CPC015_MCF7_6H_X1,0.28736759808290363,0.0,1.0,validation,filzen_continuous
BRD-K46937689,CPC015_MCF7_6H_X1,0.026749601595852598,0.0,0.0,validation,filzen_continuous
BRD-K57569181,CPC015_MCF7_6H_X1,0.036834470789950995,0.0,0.0,validation,filzen_continuous
BRD-K68143200,CPC015_MCF7_6H_X1,0.03150351655177103,0.0,0.0,validation,filzen_continuous
BRD-K79131256,CPC015_MCF7_6H_X1,0.10661079539878414,1.0,1.0,validation,filzen_continuous
BRD-K85119730,CPC015_MCF7_6H_X1,0.02218568130767259,0.0,0.0,validation,filzen_continuous
BRD-A06352418,CPC015_MCF7_6H_X2,0.03387518618928909,0.0,0.0,validation,filzen_continuous
BRD-A09056319,CPC015_MCF7_6H_X2,0.04047207140511568,0.0,0.0,validation,filzen_continuous
BRD-A25234499,CPC015_MCF7_6H_X2,0.09640310468253799,0.0,1.0,validation,filzen_continuous
BRD-A42759514,CPC015_MCF7_6H_X2,0.05431226877567288,0.0,0.0,validation,filzen_continuous
BRD-A66559694,CPC015_MCF7_6H_X2,0.07618298985300333,0.0,0.0,validation,filzen_continuous
BRD-A97701745,CPC015_MCF7_6H_X2,0.05646284859170358,0.0,0.0,validation,filzen_continuous
BRD-K25224017,CPC015_MCF7_6H_X2,0.05403929827448579,0.0,0.0,validation,filzen_continuous
BRD-K37991163,CPC015_MCF7_6H_X2,0.18470521630760917,1.0,1.0,validation,filzen_continuous
