"gene_id","residual_variance","posterior_variance","precision_weight","prior_df","residual_df"
"8243",0.511616640088953,0.505700827984647,1.97745375261747,11.7375077433574,434
"11188",0.181115770114644,0.183279538838136,5.45614642168623,11.7375077433574,434
"11137",0.578000873740733,0.571017995700279,1.75125829226035,11.7375077433574,434
"23463",0.226921452395389,0.227811316532405,4.38959756355103,11.7375077433574,434
"8607",0.306383468702897,0.305519291595828,3.27311573281239,11.7375077433574,434
"8720",0.187925063083579,0.18992643802222,5.26519641190243,11.7375077433574,434
"3638",0.392695627271713,0.390219627796141,2.56265940708247,11.7375077433574,434
"10670",0.182122274180071,0.184156626842577,5.43016027794011,11.7375077433574,434
"8870",0.299301994914247,0.298548294740004,3.34954182495287,11.7375077433574,434
"9246",0.334809796567248,0.332871379889421,3.00416335081796,11.7375077433574,434
"10051",0.198715964626205,0.201027687849532,4.97443914665374,11.7375077433574,434
"9097",0.226769176878441,0.227755283228653,4.39067751063347,11.7375077433574,434
"1958",0.204735276392364,0.206159768618549,4.85060691860918,11.7375077433574,434
"4860",0.187331167627139,0.18941087849069,5.27952780731733,11.7375077433574,434
"1786",0.251605673610938,0.252199670238609,3.96511224243033,11.7375077433574,434
"896",0.326699007742911,0.324944518735618,3.0774484330158,11.7375077433574,434
"8508",0.179642843402256,0.181941300107325,5.49627819197791,11.7375077433574,434
"4605",0.204002144372456,0.205718906807316,4.86100191528159,11.7375077433574,434
"2037",0.343148059202933,0.340937049405786,2.93309278572946,11.7375077433574,434
"1994",0.194195002316083,0.196142715293223,5.09832852321358,11.7375077433574,434
"9703",0.292723873026652,0.291996571210413,3.42469774852047,11.7375077433574,434
"7157",0.275734376748526,0.276164444126226,3.62103095191694,11.7375077433574,434
"6118",0.196081544332318,0.197911350198798,5.05276730715807,11.7375077433574,434
"10797",0.222831989103542,0.223805652428281,4.46816239514081,11.7375077433574,434
"5721",0.127653052049673,0.131182147964512,7.6229884593026,11.7375077433574,434
"1616",0.211681803587941,0.213411966807923,4.68577285031082,11.7375077433574,434
"60528",0.207087390041232,0.209110662187031,4.78215691893122,11.7375077433574,434
"9918",0.257771671821186,0.257980817884668,3.87625718919557,11.7375077433574,434
"9813",0.243328302707953,0.243742783920475,4.10268556022675,11.7375077433574,434
"11325",0.31148300324593,0.310426533206252,3.22137411925283,11.7375077433574,434
"3930",0.244437048445581,0.24498303086906,4.08191537369984,11.7375077433574,434
"9467",0.275142616445563,0.274963809839093,3.63684224693131,11.7375077433574,434
"9690",0.369735983247311,0.366865458766586,2.72579490956176,11.7375077433574,434
"949",0.179416545537027,0.181512201561874,5.5092715056906,11.7375077433574,434
"51097",0.222814455355858,0.224091145619526,4.46246993488021,11.7375077433574,434
"6603",0.157595663219843,0.16074531952886,6.22102094748992,11.7375077433574,434
"10276",0.232494992149452,0.233192137859103,4.28830924224473,11.7375077433574,434
"3066",0.192540858942675,0.194723900476456,5.13547642355751,11.7375077433574,434
"3315",0.0632795639333564,0.0684834774851486,14.6020622305119,11.7375077433574,434
"3988",0.215388152940593,0.216740434931862,4.61381375521544,11.7375077433574,434
"664",0.237815708550825,0.238398099557402,4.19466431090076,11.7375077433574,434
"994",0.81976568536899,0.805543014110355,1.24139863729612,11.7375077433574,434
"23300",0.302222612706589,0.301120592841441,3.32092863714094,11.7375077433574,434
"10953",0.248284816786514,0.248626857824339,4.02209161452108,11.7375077433574,434
"9019",0.318064972165583,0.316736473238752,3.15719875824409,11.7375077433574,434
"3597",0.40612217152805,0.402278293279368,2.48584131111826,11.7375077433574,434
"84722",0.219459426336851,0.221029966775834,4.52427340322676,11.7375077433574,434
"7319",0.304208854280724,0.303018018419049,3.30013378484008,11.7375077433574,434
"80347",0.191628784178857,0.193740299568614,5.16154874451326,11.7375077433574,434
"10489",0.291346766313958,0.291378967521835,3.43195670059838,11.7375077433574,434
"23077",0.19328504782388,0.195063157491214,5.1265447194714,11.7375077433574,434
