direction,generalized_eigenvalue,cumulative_discriminative_mass,signal_fraction_lambda_over_one_plus_lambda
64,1.1439634322562806,0.9040549541422496,0.5335741342623496
65,1.135470017506112,0.9079088018589373,0.5317190165152306
66,1.1111988368206036,0.9116802718528988,0.526335472263727
67,1.0991685025939986,0.9154109102305469,0.523620900959464
68,1.0726531784988258,0.9190515541392562,0.5175266125689796
69,1.0500862899367134,0.9226156047864815,0.5122156540879701
70,1.03665073042975,0.9261340544054719,0.5089977947328299
71,0.9979471257707699,0.929521141860651,0.4994862541148485
72,0.992755131380651,0.9328906074011893,0.49818219797674546
73,0.9700837368677608,0.9361831249812969,0.49240736254698414
74,0.9336150100063909,0.9393518656958082,0.4828339691070691
75,0.931527288482952,0.9425135205685957,0.4822749821021614
76,0.9198003085554652,0.9456353734262526,0.47911249126090616
77,0.902262103727341,0.9486977006517135,0.47431008690097204
78,0.887716881588614,0.95171066059291,0.47025954487494603
79,0.8774291757777957,0.9546887034945213,0.46735673819188817
80,0.8710662851807612,0.9576451503953392,0.46554539092483765
81,0.8257459728802627,0.9604477776625374,0.45227867685096484
82,0.817251715842029,0.9632215749539661,0.4497185000391391
83,0.7998236117045083,0.9659362203010007,0.4443899982771322
84,0.7873401363850192,0.9686084960459194,0.4405094029709713
85,0.7692643493716055,0.9712194215751258,0.4347933363631202
86,0.7543326626915838,0.9737796681381499,0.42998268158232283
87,0.7309106759630235,0.9762604191894628,0.42226943661108807
88,0.7022087900556168,0.9786437544607347,0.41252800135797285
89,0.7003028240839017,0.9810206207786261,0.41186947064045165
90,0.6849302062998001,0.9833453115859063,0.40650360693808485
91,0.6573934057590399,0.9855765409769865,0.39664294757946866
92,0.6537008716300217,0.9877952377040576,0.3952957169247187
93,0.6148965670708924,0.9898822304863154,0.38076529457623093
94,0.6009849856011753,0.9919220065956043,0.3753845232817742
95,0.5740851783536813,0.9938704832789798,0.3647103639932058
96,0.5536825351035028,0.9957497122685441,0.3563678696218451
97,0.5246866130723964,0.9975305275032844,0.3441275135321745
98,0.49780537530859326,0.9992201063379607,0.3323565154157831
99,0.2297822683169616,1.0,0.18684792766725594
100,2.348634810080629e-14,1.0,2.3486348100805737e-14
101,2.322756451267175e-14,1.0,2.3227564512671207e-14
102,2.149704796944989e-14,1.0,2.1497047969449425e-14
103,2.1360178243958213e-14,1.0,2.136017824395776e-14
104,2.052565375204482e-14,1.0,2.05256537520444e-14
105,1.960709008744532e-14,1.0,1.960709008744494e-14
106,1.9559423190917627e-14,1.0,1.9559423190917245e-14
107,1.9251266256708253e-14,1.0,1.925126625670788e-14
108,1.8833887160713223e-14,1.0,1.8833887160712866e-14
109,1.7770812907587894e-14,1.0,1.7770812907587578e-14
110,1.7634303785617568e-14,1.0,1.763430378561726e-14
111,1.727743032592604e-14,1.0,1.727743032592574e-14
112,1.7209235095082193e-14,1.0,1.7209235095081896e-14
113,1.718276389905065e-14,1.0,1.7182763899050357e-14
114,1.6806255767152506e-14,1.0,1.6806255767152222e-14
115,1.6631322814816054e-14,1.0,1.6631322814815776e-14
116,1.5952041828973955e-14,1.0,1.59520418289737e-14
117,1.582645668327886e-14,1.0,1.582645668327861e-14
118,1.5731072584287367e-14,1.0,1.5731072584287117e-14
119,1.5698723999362968e-14,1.0,1.569872399936272e-14
120,1.5578762377688887e-14,1.0,1.5578762377688644e-14
121,1.490339337541152e-14,1.0,1.49033933754113e-14
122,1.4843503418477205e-14,1.0,1.4843503418476984e-14
123,1.4805144028000828e-14,1.0,1.4805144028000607e-14
124,1.475623625020323e-14,1.0,1.475623625020301e-14
125,1.4320693266425402e-14,1.0,1.43206932664252e-14
126,1.4065598456736892e-14,1.0,1.4065598456736695e-14
127,1.3643257326362781e-14,1.0,1.3643257326362597e-14
128,1.3411022709735134e-14,1.0,1.3411022709734956e-14
129,1.3292715913092645e-14,1.0,1.3292715913092468e-14
130,1.2952392907422631e-14,1.0,1.2952392907422464e-14
131,1.2843212426566392e-14,1.0,1.2843212426566227e-14
132,1.266255156927572e-14,1.0,1.2662551569275559e-14
133,1.2651810552589705e-14,1.0,1.2651810552589545e-14
134,1.2455787332301266e-14,1.0,1.2455787332301111e-14
135,1.2296278098360441e-14,1.0,1.2296278098360291e-14
136,1.2239823172695718e-14,1.0,1.2239823172695568e-14
137,1.219285916951906e-14,1.0,1.2192859169518912e-14
138,1.2064014619599348e-14,1.0,1.2064014619599203e-14
139,1.2051079557348059e-14,1.0,1.2051079557347914e-14
140,1.160765261356106e-14,1.0,1.1607652613560926e-14
141,1.1542753662060413e-14,1.0,1.1542753662060281e-14
142,1.130479226121941e-14,1.0,1.1304792261219282e-14
143,1.1136897408705447e-14,1.0,1.1136897408705324e-14
144,1.1017187020419161e-14,1.0,1.1017187020419038e-14
145,1.0991677930792693e-14,1.0,1.0991677930792572e-14
146,1.0561642335854882e-14,1.0,1.056164233585477e-14
147,1.0477885283179496e-14,1.0,1.0477885283179388e-14
148,1.0397610028944576e-14,1.0,1.0397610028944468e-14
149,1.0212509358690181e-14,1.0,1.0212509358690077e-14
150,1.0147636454616582e-14,1.0,1.0147636454616478e-14
151,1.007726264015759e-14,1.0,1.0077262640157488e-14
152,1.0012130666873281e-14,1.0,1.0012130666873182e-14
153,1.0007163982360287e-14,1.0,1.0007163982360187e-14
154,9.982364215828465e-15,1.0,9.982364215828365e-15
155,9.877296244860846e-15,1.0,9.87729624486075e-15
156,9.802817464911502e-15,1.0,9.802817464911406e-15
157,9.081198099560456e-15,1.0,9.081198099560374e-15
158,9.078235481014128e-15,1.0,9.078235481014046e-15
