permutation,mean_average_precision
403,0.1445260902329216
404,0.16371781720010103
405,0.14959284066631057
406,0.12392088837192836
407,0.11521564255412071
408,0.1457782293293477
409,0.12432765999686582
410,0.1352500457491117
411,0.11690908042461132
412,0.14600844012380304
413,0.1303916304471378
414,0.12147373296084461
415,0.12616111839459068
416,0.140016819190831
417,0.13532004713805482
418,0.12622945524977724
419,0.1282584045438207
420,0.13927585280247148
421,0.1299088027065872
422,0.12818614962476127
423,0.129687318794781
424,0.11861388294545096
425,0.11358969231509339
426,0.1419865032650275
427,0.1448598230906932
428,0.13226856125993672
429,0.12912292036427295
430,0.14452738426141373
431,0.14520537284860977
432,0.15190166143361727
433,0.12353568113279169
434,0.11482606593701349
435,0.1532277603988763
436,0.1459080128962423
437,0.12816374065756964
438,0.11621250199626168
439,0.14726918356986785
440,0.1106914584271904
441,0.13693745184787764
442,0.12343451423970081
443,0.11012096253377197
444,0.1393235995484591
445,0.13815558879675388
446,0.1420414394289827
447,0.14639508146010624
448,0.1553073081346252
449,0.13653868296945054
450,0.10998526259658713
451,0.1563661332933617
452,0.1158295042749405
453,0.1563727841580583
454,0.11195469348751577
455,0.1412567492530247
456,0.11149206757385595
457,0.14626865640152412
458,0.14399207770217573
459,0.13211278584098643
460,0.12842751704894959
461,0.14955208015998248
462,0.11690114938683803
463,0.1509242447868059
464,0.12050957720141216
465,0.14870223548734943
466,0.12356622519352493
467,0.1101035989027425
468,0.1405793912583319
469,0.14648467334196974
470,0.12231022287309065
471,0.14376681813318762
472,0.14567482553024133
473,0.1262768534948651
474,0.1391992204620884
475,0.13259951109493226
476,0.13381584006702243
477,0.11201144711115894
478,0.141921133212387
479,0.13985609638117527
480,0.12275676525141521
481,0.13702287510210134
482,0.11673802829013895
483,0.12489130598376168
484,0.15093476647857743
485,0.12275875554515141
486,0.12980318971488605
487,0.16627253180407103
488,0.1372215313556327
489,0.13538206363423716
490,0.12630370024904392
491,0.18047294976242328
492,0.13789917402244656
493,0.12469366524560174
494,0.1324102124033286
495,0.1345116710581
496,0.12615718681044924
497,0.11861793434773472
498,0.12490828565126245
499,0.13240003304752193
500,0.14742149283650804
501,0.1399133346554674
502,0.12483497125754155
503,0.12372390145063233
504,0.12287924005965994
505,0.13676153377176709
506,0.12371644713665086
507,0.1549933212367528
508,0.12109943260208034
509,0.13842637701312446
510,0.12386426924809857
511,0.12031416005691106
512,0.14362598134048266
513,0.1341725603127301
514,0.12571910730727906
515,0.13995111620993977
516,0.11354747019054384
517,0.11129181144110245
518,0.12146860606581403
519,0.12050052076222395
520,0.13696584053746733
521,0.14701925338270364
522,0.12394102708187259
523,0.13832642299301912
524,0.13527954424747696
525,0.12412851153610206
526,0.13483741639765442
527,0.1316063003809989
528,0.1344755155294801
529,0.11726687672606248
530,0.1520556925507388
531,0.12684218297983688
532,0.1282779823185196
533,0.1718581755936301
534,0.135162549299101
535,0.1325814162339918
536,0.1357932727354122
537,0.1337430247133247
538,0.13448594378466286
539,0.13062412196036177
540,0.12585668800634062
541,0.12962369475011123
542,0.13409128482481325
543,0.12414223444220311
544,0.16587900378289508
545,0.12231217348705965
546,0.11663994197299676
547,0.11686039461372073
548,0.17395137029935057
549,0.12228425927467619
550,0.13356470019373012
551,0.14671515419220102
552,0.1318080394436881
553,0.13216837014700514
554,0.1442590801852775
555,0.1381380603356511
556,0.13608839175141918
557,0.1517228975739492
558,0.13185331222965493
559,0.1305924447267755
560,0.12168471558297539
561,0.13750696648298097
562,0.13173745968002135
563,0.11980433950224609
564,0.15092287313050304
565,0.13056629569075937
566,0.1440553082031625
567,0.12622269087902302
568,0.1416117559908042
569,0.13783969395877263
570,0.10478022344447178
571,0.14081195391113963
572,0.14138746012130574
573,0.13421566270379406
574,0.15115909776031003
575,0.12222541041532665
576,0.12398522411056655
577,0.13739437888982386
578,0.14008864046188843
579,0.13152053617979112
580,0.1559401977550018
581,0.13027955344779782
582,0.12215749320798303
583,0.14129554278192988
584,0.12630987161967802
585,0.13353783135697478
586,0.1219404259143319
587,0.13274387706384644
588,0.11842772250399644
589,0.11749836733695933
590,0.13147870662592662
591,0.12491339592064118
592,0.1422719497576964
593,0.12344767879511652
594,0.14500641788592908
595,0.12556000280006896
596,0.16722983369075992
597,0.11969418250022977
598,0.12282150632375678
599,0.13950101128950518
600,0.1308731662232398
601,0.09930461192514035
602,0.1251534660528786
603,0.12365967533674141
604,0.11803508255641137
605,0.12038735435481901
606,0.13665883191106185
607,0.11361140025260477
608,0.11428915400564131
609,0.1774946837082261
610,0.12184758850046626
611,0.15379030875437102
612,0.14333116725314626
613,0.11820595854064024
614,0.12128839459421586
615,0.12752812637142297
616,0.1327474021895237
617,0.14352675872261997
618,0.11264420812279194
619,0.16832346654032257
620,0.14619253874761995
621,0.1437649893458003
622,0.12486984493986558
623,0.12956297445077078
624,0.1376047230875508
625,0.1360287813940594
626,0.11756858235702214
627,0.13691133989329327
628,0.11172831727218047
629,0.13555022928505234
630,0.10584190387780906
631,0.13007462569220932
632,0.13986618127056752
633,0.12104562779259019
634,0.12076355405965356
635,0.12512402572697476
636,0.1340970875985428
637,0.1611065448808502
638,0.1340040134991963
639,0.12015734726180916
640,0.13212687547399066
641,0.10802080290268042
642,0.12934419588619966
643,0.11798869093522396
644,0.16252679756107413
645,0.10362107311375214
646,0.1428639905293355
647,0.13547581618948137
648,0.11518061836840762
649,0.1339813051998818
650,0.12710316818420792
651,0.12039633869014761
652,0.1418634678849912
