sample_id,pert_id,pert_iname,rna_plate,n_treatment_wells,n_vehicle_wells,HALLMARK_ADIPOGENESIS,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ANDROGEN_RESPONSE,HALLMARK_ANGIOGENESIS,HALLMARK_APICAL_JUNCTION,HALLMARK_APICAL_SURFACE,HALLMARK_APOPTOSIS,HALLMARK_BILE_ACID_METABOLISM,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_COAGULATION,HALLMARK_COMPLEMENT,HALLMARK_DNA_REPAIR,HALLMARK_E2F_TARGETS,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,HALLMARK_ESTROGEN_RESPONSE_EARLY,HALLMARK_ESTROGEN_RESPONSE_LATE,HALLMARK_FATTY_ACID_METABOLISM,HALLMARK_G2M_CHECKPOINT,HALLMARK_GLYCOLYSIS,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEME_METABOLISM,HALLMARK_HYPOXIA,HALLMARK_IL2_STAT5_SIGNALING,HALLMARK_IL6_JAK_STAT3_SIGNALING,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INTERFERON_ALPHA_RESPONSE,HALLMARK_INTERFERON_GAMMA_RESPONSE,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_MITOTIC_SPINDLE,HALLMARK_MTORC1_SIGNALING,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYOGENESIS,HALLMARK_NOTCH_SIGNALING,HALLMARK_OXIDATIVE_PHOSPHORYLATION,HALLMARK_P53_PATHWAY,HALLMARK_PEROXISOME,HALLMARK_PI3K_AKT_MTOR_SIGNALING,HALLMARK_PROTEIN_SECRETION,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,HALLMARK_SPERMATOGENESIS,HALLMARK_TGF_BETA_SIGNALING,HALLMARK_TNFA_SIGNALING_VIA_NFKB,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_UP,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_XENOBIOTIC_METABOLISM
BRD-A79768653|CPC018_MCF7_6H_X2,BRD-A79768653,sirolimus,CPC018_MCF7_6H_X2,1,14,130.6446000140154,-34.95999843715555,125.52752024030917,45.32895385721923,170.40320240395442,220.14695205631944,104.04257853306297,120.88218927097756,115.57068085877387,104.46977568572163,90.17008310739476,129.2139694927542,87.20288739387007,-12.969438546907838,75.55225004043001,142.98691871772655,191.08119002828022,45.579537789512756,75.52767251659304,127.91680097780346,96.52840760032018,66.7677418820229,27.780122173174163,-3.158817644209364,-87.64743692056174,63.51498417322756,25.840098510128882,50.72700021355149,97.37362318961146,19.74120956697891,92.64932315434083,112.40824559901154,-46.443782936409434,68.53825401242023,48.80995358677353,42.28518810153321,80.53328576043066,148.98832275315368,57.46525349964821,170.25648352417238,281.10255138650416,7.018190458002209,185.76320164444866,-10.014430368713988,42.006295866413154,162.63214200043825,-34.4354043367336,37.90038361148305,115.04175033837174
BRD-A91699651|CPC018_MCF7_6H_X2,BRD-A91699651,chloroquine,CPC018_MCF7_6H_X2,1,14,103.0549350932796,-17.78570335333643,170.44088291811318,-156.39090009740755,10.61977559004714,87.48404943500401,90.2464492206006,153.76569362454632,199.32915347088846,-93.71194550345132,11.514761623768663,83.06210794536656,93.98849132177617,-26.74687445071271,134.27731771639873,87.95737117911466,169.20181280410674,83.94923693212354,69.12519003993094,29.224030492283987,50.77390230320157,50.67824166780463,-31.98106498552721,102.61963260093398,-43.858597622032846,62.251108598615076,98.24603071173817,-108.71701292614807,-10.804516171978264,20.482776068560895,161.30377460069786,150.9342727771321,143.13082504182063,-12.460419516456056,115.83860991485034,79.54672231974462,96.03118786189691,62.52834620186587,35.36147419238074,47.12151817104319,37.55463941616887,94.54284148096718,88.42090345115935,47.84646857994892,116.00429892061783,42.67894449736099,121.75160134478898,-99.45657875404271,32.827400085985005
BRD-A93255169|CPC018_MCF7_6H_X2,BRD-A93255169,thalidomide,CPC018_MCF7_6H_X2,1,14,157.1268810988734,-24.0443479450866,34.17479651209965,-14.864990694999051,35.09099738290996,185.56467341602752,72.15711260731024,34.43346048394051,-21.426782247854078,36.49680201674573,31.148309764547378,174.1706270991026,149.31673813609035,45.51131268848343,105.65715487623248,150.2572580041621,128.78378493668993,107.7170499817048,117.06824822990598,-38.48050907592199,-9.991489184758564,67.60385925131607,15.43149101346387,88.76300279172875,-2.803497019361771,15.9068557970715,42.26740284938569,-146.49495396466511,-102.565636714925,78.64881084717831,119.91902105438652,207.89151458135183,119.60682841180267,76.53922670167282,50.84045632298967,63.92822420217817,61.77480721198822,80.07634612744243,209.4663382642101,98.11768305059644,248.20990784013986,126.12294319183331,164.8094343730632,-56.729293850974784,140.77306070161177,20.2788146663475,103.95357931059903,-46.17388440214654,185.65963568072232
BRD-K01292756|CPC018_MCF7_6H_X2,BRD-K01292756,pimozide,CPC018_MCF7_6H_X2,1,14,135.39546221152574,-7.856502988192744,105.62256462261502,29.983598196001367,-6.306229204781346,121.72047127315784,125.0567400312143,-28.5936031418604,261.88398063269335,9.464107322391612,44.83757808116212,32.295954554593834,107.24803220316466,-44.66005266686642,57.91879361187313,68.61250072053923,205.0318493240182,56.85735182340733,90.54981964724573,7.917027860862788,39.5805983488454,136.75225017449748,62.01527048136734,-21.285032281071892,-68.27728005049761,7.332805151673369,114.66889983212542,-238.37831864042545,-22.789036011148255,79.41202008231244,215.93576033215777,99.55980318218275,43.081762364896406,119.91331289432793,-47.03987151613603,57.39396419887021,136.92926725540178,5.3194367579086475,151.97359385427796,92.49103650252817,57.01752275733634,123.61122899947259,-98.93359157893252,36.065256405954244,101.85054577895284,63.30482949648848,59.179487819034364,18.805909041872212,146.69959766705796
BRD-K06854232|CPC018_MCF7_6H_X2,BRD-K06854232,AM-580,CPC018_MCF7_6H_X2,1,14,74.84916497535914,-21.10407048961588,-46.00815910489143,62.58964828718905,78.71106346385761,16.830849820618027,1.6210395653058072,207.26778671779385,109.34002008507741,117.2718973601173,59.66544804707331,98.30442238372649,-4.535473387714205,15.65064915951848,185.32941682093008,98.0824997484429,198.51389078309916,-10.030503886546114,107.53441129232141,17.798706283673653,3.840136368544961,100.64137941427003,119.83646656960224,55.97541513086895,-11.37639224840018,242.48951781482947,111.65613483609809,3.1449804624014632,176.51428155946724,25.053899008032488,100.75934018242242,97.07935399012001,103.21978237506636,-17.95184770916177,73.82482296948245,25.344380216204968,7.488773944830882,5.511451664808192,50.3596827697325,-8.942313953157452,176.1595104218428,-17.370061810132484,61.70593398299786,52.304378804025134,106.51404317357066,135.6031841265742,108.47070764710566,-54.63919863333143,114.56928949878
BRD-K06980535|CPC018_MCF7_6H_X2,BRD-K06980535,promazine,CPC018_MCF7_6H_X2,1,14,108.86428366163551,66.13434109974594,79.16809107343141,-28.55725282927972,-69.59569948088227,87.69001554352309,107.0880655844773,84.27848851353792,225.00822583300027,21.1327349807014,34.18779919010967,94.43590890969699,39.56268260053906,4.641404928086786,147.46108252098566,67.82558656923351,194.22643684672937,30.24920840167357,88.05651021780949,12.485677262630077,123.8503063894396,121.69921339609311,14.822635536342489,54.436267252043706,-22.674984578635133,25.062111424477735,75.34612076412662,-145.32215925625343,90.98210455196602,69.12975746373081,196.2298164729675,99.05994708454028,13.63231897961714,112.16625252909739,161.6340399052807,22.22299392717116,140.93913440892027,-36.477150760434654,132.15953995917653,57.3779530699307,100.64266405461069,-20.237278209688895,-16.526173524576848,109.5478110367493,138.6015274552555,70.79790135430488,59.51945490428312,-30.4293646520955,103.6014024472928
BRD-K17561142|CPC018_MCF7_6H_X2,BRD-K17561142,amiodarone,CPC018_MCF7_6H_X2,1,14,33.511552095368245,-72.5812925045472,144.25939760073004,2.629196457734622,125.1680912019043,80.58295664420831,93.33331725886461,3.173818802244625,111.88129073810751,113.51420434434283,56.45930905437905,64.72462235888315,42.23063758795729,-12.394360239742866,129.90951882353437,96.50025798189961,50.095513694226725,-1.6743769230669727,77.89361262219342,64.98482278260855,106.69414229726607,97.86519816314075,122.1007971341914,-1.9634281057055318,-81.54778937848522,-35.777001352436514,3.627351220945343,-97.36103263002627,5.969468040118784,88.88841532615953,126.80367274980318,71.59732487096892,27.103425229944094,140.67352849010047,129.63176165037208,48.01451772590747,-5.47254139757689,-16.470824992061353,155.21125000585306,164.88632196254764,68.44476694861021,32.176771139056314,40.33859876221959,15.269668460506352,61.232038173315004,203.6593342347722,20.932840984577695,78.82741343990898,45.56327238676204
BRD-K32164935|CPC018_MCF7_6H_X2,BRD-K32164935,tolazamide,CPC018_MCF7_6H_X2,1,14,63.40168515844084,-80.24264560242057,153.32986557530887,227.43497847064202,-29.93241431464844,88.02538768630632,-33.86015322582915,-74.5054424210557,72.31667993651394,56.9642899731366,6.168714176819549,130.27276514725435,141.9812667059369,23.100218317640895,160.14686977558364,110.49657716794587,159.5991748760469,147.52080851222001,104.61275567526843,29.722549827442094,14.001380428779044,44.94397424899421,137.5073206586177,9.145321839883877,-149.64371797407148,166.02862182940225,45.19786511457636,-242.20263866340392,-50.2427947972314,125.6647973551726,113.04699007807852,214.2541401485139,198.06340411061797,121.45756071883187,113.87230341093971,120.19111769886979,42.9710539725001,18.991962667304165,51.33862303044651,26.475631561351975,200.15383797474982,144.96233568535285,-220.54417953798549,38.76521093008773,58.16244585634081,-28.350557291483028,-10.526846753591144,91.04511624584347,53.59444911798994
BRD-K35960502|CPC018_MCF7_6H_X2,BRD-K35960502,niclosamide,CPC018_MCF7_6H_X2,1,14,120.73999071244958,20.998352099136298,125.80577456167413,-18.196003021216654,22.659558817196398,122.21130501381816,178.54726954553996,-67.85129425325266,204.1189115535512,58.20130239389465,9.416764693312757,-93.16631549817805,23.708110803656382,101.60392773670111,233.71139579135854,148.78178593911406,29.274036715971476,-0.8283287153907963,34.45044482924931,92.9729219065859,118.92649415377673,198.56683768903423,125.62823381613731,150.97588986751282,135.49691546538008,35.00453923418172,113.74349123229581,139.51417677555673,178.39518964500508,80.3021818821262,184.71303590231668,89.4954842967573,170.04856359183378,104.21617103910694,169.45664398969188,28.183359530975338,99.90559819870549,-29.25125764602774,109.18588208750253,-15.230057727651342,202.67757516275805,65.05238992459249,257.41743526022697,347.01509546779386,116.24059486107461,204.3517765286207,99.19292113105519,194.54910565414934,89.11751283150244
BRD-K54233340|CPC018_MCF7_6H_X2,BRD-K54233340,dorsomorphin,CPC018_MCF7_6H_X2,1,14,227.0612778608628,11.96641300108638,11.955642333382116,-21.67831018244061,63.463570650202314,61.6110075369682,82.38239849012103,226.73265493152223,162.17322419591295,111.90489369221444,87.79204402002733,98.38360200877054,-29.51368188455291,182.74574494788357,18.694664936873437,57.238036811235986,200.44291668252623,-71.1934654716323,126.8047029403699,-126.00576727930678,19.629778669793268,121.45935241864902,78.10640562067522,-4.012667559356487,43.12740728632144,100.33656808994795,77.48576922863032,108.71851748332472,92.15126779493642,-94.72964514378197,170.49864273916938,81.05589346444157,37.026313620677115,177.1737810825806,-156.2209059474947,188.989760272943,99.94588017904044,128.98392014989167,41.711189794848394,106.36374478021042,231.8571045103265,-33.57112601700908,4.506101589499622,60.236814493596796,18.803962600509465,58.965132333156646,91.13101992903665,-112.66783801492988,147.6056621691971
BRD-K61250553|CPC018_MCF7_6H_X2,BRD-K61250553,loperamide,CPC018_MCF7_6H_X2,1,14,39.455459944588824,14.534413455680294,124.78607603856051,131.88266606096232,178.12442652059366,-57.72842367160018,113.83952200512829,212.31466482146118,228.04294579088565,32.13987194087673,55.517668135018084,-20.510005309820883,96.9982319431972,79.39760526837347,-26.506397475573806,52.797818899075025,106.39409976056243,42.81098868259937,76.15402831910131,96.78838472408364,59.21850522916236,118.64333997887752,68.90211665416876,49.40884894415234,-54.35425784003229,68.47077775541038,77.45507838639156,-92.77103453135959,144.46045131103062,48.008178845498264,154.91011089051312,-64.722300842501,16.17029526442235,143.9683310280074,-89.8261589923718,-0.6461579341811898,94.7762812684515,76.79728028376331,31.727807614272365,18.628827545311083,182.8082176767221,134.31872438612834,90.11173990486338,2.6179289378242174,48.003552016074195,195.70419536618823,-3.5242831781527,-25.343182461201195,-2.2771549784766876
BRD-K77987382|CPC018_MCF7_6H_X2,BRD-K77987382,mebendazole,CPC018_MCF7_6H_X2,1,14,26.57542082376915,26.6925370084129,199.34227475022294,6.70829389321068,10.252687224965086,-56.78669127391356,125.86965170348458,-49.448017737687564,67.43946427328393,52.31413478306496,62.09222012211825,44.80825214008405,16.147474974493605,77.5433951158733,165.01740470960982,128.88803310553953,38.045586187763774,63.89314698209813,108.88832972140091,178.71120737729547,-14.57406560975653,164.28637967447816,191.21641988132842,143.85034579748503,-20.810343780005326,-98.13590304956188,28.68103864009754,30.66173757303295,86.79597709466742,26.399754363049055,119.63372232146469,-10.197810537412181,88.1941576135248,21.365857926393915,92.3595762394861,-29.57458207706918,105.31328788408143,-65.74145664245543,72.97808375370983,-92.0340371197608,22.054924075304484,106.07509250562254,93.20301583197443,224.94322662380722,161.03527918270407,134.5119686199365,62.588749915286485,119.00583237564331,11.105377090877028
BRD-K78126613|CPC018_MCF7_6H_X2,BRD-K78126613,menadione,CPC018_MCF7_6H_X2,1,14,106.7889904725148,171.19905100438086,133.635125042433,129.95057583683928,101.34661510999558,-44.19093012058357,174.38376233717872,60.15472120357839,133.46927998247338,208.82781322489524,136.7965317761532,30.847296913634977,-87.80457214850253,263.89779510838713,109.92459354522174,46.42430470234211,137.24576210331287,-52.260453220470765,89.50365356049457,-3.674223427517518,42.293420913653165,160.3120351659092,142.19806525994255,326.7830330579726,277.3054755260823,165.6460450046605,152.04541789000007,347.22541635022606,293.68982759190516,-113.78012050419494,79.63601153320559,-54.4237373574847,-50.9777575867559,87.21537638133344,18.759294031929812,21.09205053159957,156.8676908686062,77.02203893248583,24.935028120009974,-120.57327310073549,15.740331433751066,4.075378082329905,88.72780575274908,311.2770826769654,90.63679661932883,127.26906692514274,78.08662407981143,169.99346846117152,174.6493016060919
BRD-K81418486|CPC018_MCF7_6H_X2,BRD-K81418486,vorinostat,CPC018_MCF7_6H_X2,1,14,45.52034504579774,16.034166685628293,107.07187611273105,68.8927476276582,41.76004369494217,28.29093153599331,100.22847499926871,216.50856939112725,179.97782599419605,181.88640383057248,145.66993036059256,40.947672067950464,-39.00214917337837,-1.511717732807881,11.29777657753209,52.01125047779908,189.57497670511606,-92.48650769893158,129.46667658748441,-181.18083339987612,159.25398870934532,170.03185792706313,58.12643976111764,55.5344791600329,-34.79070436783144,98.81018424324287,140.79793880678716,63.08924809579065,126.09404410494238,33.364368127516514,148.17616940725128,-74.62759033500879,-136.60515597469026,132.04248530157082,117.89381052647241,131.023603023043,111.77265883160004,117.58742213939382,99.51844583287152,187.58390309449607,232.15219466767195,35.903439962123,128.44260267729106,53.99299083279203,96.41502964020663,-18.958059864412462,158.6372129567614,-20.179410654289313,135.47724587799104
BRD-K96354014|CPC018_MCF7_6H_X2,BRD-K96354014,nifedipine,CPC018_MCF7_6H_X2,1,14,-129.1943385055647,139.4274442073836,67.11971776400674,129.962814731494,115.18408410473023,-75.69347482267739,87.32159172748999,76.49204814223674,51.973062290806126,7.461814239494686,67.19687158212719,-43.86396240922653,-63.57469331954013,133.21507207197084,95.24712695059179,125.50620391515616,110.10932626176736,20.660623807953414,47.28998416796571,30.482043872229326,82.1445757707109,-19.67112079564339,88.14746538199279,179.34649301543647,202.6064547911932,109.66978487118911,92.60452130169426,188.73113200952923,35.70483573977799,-61.24276833360773,-31.92811512222619,28.10939285869989,27.653668469760305,69.99579380295728,-64.87694109452457,-10.582534659769351,72.49705478592199,145.18628944689164,102.48728090995996,0.6741075934367586,-298.868305092916,55.34972859506104,178.56688541822177,85.01310091267794,161.12576655338296,149.9086306324968,65.57217776654977,55.916594322134586,39.83520522990631
