gene_id,neural_weight_norm,lda_loading_norm,neural_rank,lda_rank,combined_rank
22823,0.3009301,0.13617191968770484,377.0,771.0,574.0
1514,0.25511706,0.19686717540652207,894.0,257.0,575.5
79006,0.28211814,0.16105769576070847,634.0,517.0,575.5
7099,0.30219993,0.1335985392962668,356.0,796.0,576.0
4582,0.27550846,0.16971656146845138,710.0,442.0,576.0
5498,0.29223233,0.14760685062417414,498.0,655.0,576.5
10681,0.27672473,0.16741506423449046,689.0,464.0,576.5
9019,0.30508015,0.12651191328065978,312.0,842.0,577.0
5716,0.30195686,0.1335802451481241,360.0,797.0,578.5
5366,0.26982883,0.1762555931454207,775.0,384.0,579.5
55818,0.2840367,0.15754819676758816,601.0,559.0,580.0
695,0.30882758,0.12071764140269597,281.0,880.0,580.5
670,0.28737584,0.1538236925135354,570.0,592.0,581.0
22934,0.28218633,0.15948306299816983,633.0,531.0,582.0
58533,0.25833437,0.18880328042705366,869.0,302.0,585.5
1445,0.26212665,0.18467955325021837,840.0,331.0,585.5
5480,0.3078657,0.12045915087328038,292.0,883.0,587.5
26064,0.30276108,0.1288365961747567,347.0,828.0,587.5
1509,0.27802914,0.16285421431089314,677.0,501.0,589.0
9552,0.24862118,0.2025597906178287,939.0,239.0,589.0
56889,0.30586568,0.12237045842279584,307.0,871.0,589.0
10969,0.30140078,0.1311891349210852,368.0,811.0,589.5
25966,0.30352256,0.12474380746053396,329.0,852.0,590.5
6193,0.31483674,0.1026114529648985,226.0,955.0,590.5
5373,0.28239053,0.15816158396676958,629.0,552.0,590.5
5715,0.27421677,0.16860069168960765,730.0,452.0,591.0
1019,0.28634173,0.15255381510490332,577.0,606.0,591.5
55604,0.30373982,0.12442767534502625,328.0,856.0,592.0
6118,0.2571821,0.18830894144847693,880.0,304.0,592.0
10494,0.27438432,0.1680182658829111,728.0,459.0,593.5
55011,0.30434486,0.12289182592598197,320.0,868.0,594.0
9988,0.27624124,0.16456130245163156,704.0,485.0,594.5
9943,0.3024683,0.12692926575601704,349.0,840.0,594.5
6347,0.29097015,0.14622216830769982,516.0,673.0,594.5
9897,0.30211094,0.12822208471296814,358.0,831.0,594.5
51569,0.2894253,0.14852104818942588,541.0,649.0,595.0
51465,0.28341222,0.15439337642158563,609.0,581.0,595.0
6304,0.31525564,0.09585899731932686,223.0,968.0,595.5
9697,0.29335508,0.14221335561484594,475.0,716.0,595.5
9212,0.27125353,0.17031246238381323,759.0,435.0,597.0
23368,0.2754856,0.164491730282391,712.0,486.0,599.0
51053,0.25328505,0.18945363816703145,905.0,295.0,600.0
7319,0.27105343,0.1700832806121523,762.0,438.0,600.0
